brand,total_results,online_pct,instore_pct,both_pct,serp_presence_score
GT's Living Foods,29,44.8,6.9,13.8,1.0
Health-Ade,29,48.3,3.4,3.4,1.0
Brew Dr. Kombucha,29,48.3,3.4,13.8,1.0
Humm Kombucha,30,30.0,0.0,16.7,1.0
LIVE Soda Kombucha,30,46.7,3.3,23.3,1.0
Rowdy Mermaid,30,40.0,13.3,3.3,1.0
Revive Kombucha,28,39.3,0.0,14.3,1.0
Wild Tonic,30,16.7,13.3,16.7,1.0
Oatly,27,48.1,7.4,3.7,1.0
Califia Farms,30,66.7,0.0,0.0,1.0
Ripple Foods,30,33.3,10.0,3.3,1.0
Elmhurst 1925,28,28.6,3.6,10.7,1.0
Malk Organics,30,30.0,20.0,6.7,1.0
Three Trees,30,60.0,0.0,6.7,1.0
Forager Project,30,26.7,3.3,23.3,1.0
Silk,28,21.4,3.6,0.0,1.0
So Delicious,30,36.7,0.0,13.3,1.0
MUSH,29,31.0,13.8,3.4,1.0
New Barn Organics,30,43.3,0.0,3.3,1.0
Harmless Harvest,30,36.7,0.0,13.3,1.0
