brand,article,months_collected,avg_monthly_views,peak_month,momentum_pct
GT's Living Foods,GT's_Living_Foods,15,25.9,202601,80.46
Health-Ade,Health-Ade,0,0,,0.0
Brew Dr. Kombucha,Brew_Dr._Kombucha,15,331.1,202508,-10.78
Humm Kombucha,Humm_Kombucha,0,0,,0.0
LIVE Soda Kombucha,LIVE_Soda,0,0,,0.0
Rowdy Mermaid,Rowdy_Mermaid_Kombucha,0,0,,0.0
Revive Kombucha,Revive_Kombucha,0,0,,0.0
Wild Tonic,Wild_Tonic,0,0,,0.0
Oatly,Oatly,15,6292.3,202503,-10.65
Califia Farms,Califia_Farms,0,0,,0.0
Ripple Foods,Ripple_Foods,15,515.8,202503,-17.87
Elmhurst 1925,Elmhurst_1925,15,470.0,202601,1.83
Malk Organics,Malk_Organics,0,0,,0.0
Three Trees,Three_Trees_(company),0,0,,0.0
Forager Project,Forager_Project,0,0,,0.0
Silk,Silk_(brand),15,2010.9,202502,-10.24
So Delicious,So_Delicious,15,94.3,202503,-24.92
MUSH,MUSH_(brand),0,0,,0.0
New Barn Organics,New_Barn_Organics,0,0,,0.0
Harmless Harvest,Harmless_Harvest,11,2.9,202602,22.22
